,,,,
,Software Systems Developer Program (SSD 23),,,
,,,,
,Date,Course ,Instructor,
,,Week 1,,
Monday,Sep 11,Orientation / Study Skills,Pat McGee / Marlene Delanghe,
Tuesday,Sep 12,Team Building / Prof Communication,Marlene Delanghe,
Wednesday,Sep 13,OO Programming in C# (Part 1),Pat McGee,
Thursday,Sep 14,Systems Analysis and Design,Pat McGee,
Friday,Sep 15,Relational Databases,Pat McGee,
,,Week 2,,
Monday,Sep 18,OO Programming in C# (Part 1),Pat McGee,
Tuesday,Sep 19,Systems Analysis and Design,Pat McGee,
Wednesday,Sep 20,Relational Databases,Pat McGee,
Thursday,Sep 21,OO Programming in C# (Part 1),Pat McGee,
Friday,Sep 22,Front End Web Design,Michael Whyte,
,,Week 3,,
Monday,Sep 25,Front End Web Design,Michael Whyte,
Tuesday,Sep 26,Systems Analysis and Design,Pat McGee,
Wednesday,Sep 27,JavaScript (Part 1),Jason Harrison,
Thursday,Sep 28,Relational Databases,Pat McGee,
Friday,Sep 29,OO Programming in C# (Part 1),Pat McGee,
,,Week 4,,
Monday,Oct 2,Front End Web Design,Michael Whyte,
Tuesday,Oct 3,Systems Analysis and Design,Pat McGee,
Wednesday,Oct 4,JavaScript (Part 1),Jason Harrison,
Thursday,Oct 5,Relational Databases,Pat McGee,
Friday,Oct 6,Front End Web Design,Michael Whyte,
,,Week 5,,
Monday,Oct 9,Thanksgiving Day,,
Tuesday,Oct 10,Presentation Skills,Marlene Delanghe,
Wednesday,Oct 11,JavaScript (Part 1),Jason Harrison,
Thursday,Oct 12,OO Programming in C# (Part 1),Pat McGee,
Friday,Oct 13,Systems Analysis and Design,Pat McGee,
,,Week 6,,
Monday,Oct 16,Front End Web Design,Michael Whyte,
Tuesday,Oct 17,Relational Databases,Pat McGee,
Wednesday,Oct 18,JavaScript (Part 1),Jason Harrison,
Thursday,Oct 19,OO Programming in C# (Part 2),Pat McGee,
Friday,Oct 20,Relational Databases,Pat McGee,
,,Week 7,,
Monday,Oct 23,Front End Web Design,Michael Whyte,
Tuesday,Oct 24,OO Programming in C# (Part 2),Pat McGee,
Wednesday,Oct 25,JavaScript (Part 1),Jason Harrison,
Thursday,Oct 26,Javascript Applications,Pat McGee,
Friday,Oct 27,OO Programming in C# (Part 2),Pat McGee,
,,Week 8,,
Monday,Oct 30,Front End Web Design,Michael Whyte,
Tuesday,Oct 31,OO Programming in C# (Part 2) ,Pat McGee,
Wednesday,Nov 1,JavaScript (Part 2),Jason Harrison,
Thursday,Nov 2,OO Programming in C# (Part 2),Pat McGee,
Friday,Nov 3,Front End Web Design,Michael Whyte,
,,Week 9,,
Monday,Nov 6,Front End Web Design,Michael Whyte,
Tuesday,Nov 7,OO Programming in C# (Part 2) ,Pat McGee,
Wednesday,Nov 8,Javascript Applications,Pat McGee,
Thursday,Nov 9,OO Programming in C# (Part 2) ,Pat McGee,
Friday,Nov 10,Introductory Java Programming,Paul Mills,
,,Week 10,,
Monday,Nov 13,Remembrance Day - BCIT Closed,,
Tuesday,Nov 14,Javascript Applications,Pat McGee,
Wednesday,Nov 15,ASP.NET - 1,Pat McGee,
Thursday,Nov 16,Project 1 - Phase 1,Pat McGee,
Friday,Nov 17,Introductory Java Programming,Paul Mills,
,,Week 11,,
Monday,Nov 20,ASP.NET - 1,Pat McGee,
Tuesday,Nov 21,PHP / MySQL,Jeff Parker,
Wednesday,Nov 22,Javascript Applications,Pat McGee,
Thursday,Nov 23,Project 1 - Phase 1,Pat McGee,
Friday,Nov 24,Introductory Java Programming,Paul Mills,
,,Week 12,,
Monday,Nov 27,ASP.NET - 1,Pat McGee,
Tuesday,Nov 28,Javascript Applications,Pat McGee,
Wednesday,Nov 29,Project 1 - Phase 1,Pat McGee,
Thursday,Nov 30,ASP.NET - 1,Pat McGee,
Friday,Dec 1,Introductory Java Programming,Paul Mills,
,,Week 13,,
Monday,Dec 4,PHP / MySQL,Jeff Parker,
Tuesday,Dec 5,PHP / MySQL,Jeff Parker,
Wednesday,Dec 6,Javascript Applications,Pat McGee,
Thursday,Dec 7,Project 1 - Phase 1,Pat McGee,
Friday,Dec 8,Introductory Java Programming,Paul Mills,
,,Week 14,,
Monday,Dec 11,Flex day (no class is currently scheduled but this could change).,,
Tuesday,Dec 12,ASP.NET - 1,Pat McGee,
Wednesday,Dec 13,PHP / MySQL,Jeff Parker,
Thursday,Dec 14,ASP.NET - 1,Pat McGee,
Friday,Dec 15,Project 1 - Phase 1,Pat McGee,
,,Christmas Break: December 16 - January 7,,
,,Week 15,,
Monday,Jan 8,ASP.NET - 1,Pat McGee,
Tuesday,Jan 9,PHP / MySQL,Jeff Parker,
Wednesday,Jan 10,JavaScript (Part 2),Jason Harrison,
Thursday,Jan 11,ASP.NET - 1,Pat McGee,
Friday,Jan 12,Android Introduction,Paul Mills,
,,Week 16,,
Monday,Jan 15,ASP.NET - 2,Pat McGee,
Tuesday,Jan 16,PHP / MySQL,Jeff Parker,*
Wednesday,Jan 17,JavaScript (Part 2),Jason Harrison,*
Thursday,Jan 18,PHP / MySQL,Jeff Parker,*
Friday,Jan 19,Android Introduction,Paul Mills,*
,,Week 17,,
Monday,Jan 22,ASP.NET - 2,Pat McGee,
Tuesday,Jan 23,PHP / MySQL,Jeff Parker,*
Wednesday,Jan 24,JavaScript (Part 2),Jason Harrison,
Thursday,Jan 25,ASP.NET - 2,Pat McGee,
Friday,Jan 26,Android Introduction,Paul Mills,
,,Week 18,,
Monday,Jan 29,ASP.NET - 2,Pat McGee,
Tuesday,Jan 30,Web Application Security,Pat McGee,
Wednesday,Jan 31,JavaScript (Part 2),Jason Harrison,
Thursday,Feb 1,Web Application Security,Pat McGee,
Friday,Feb 2,Android Introduction,Paul Mills,
,,Week 19,,
Monday,Feb 5,ASP.NET - 2,Pat McGee,
Tuesday,Feb 6,Web Application Security,Pat McGee,
Wednesday,Feb 7,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
Thursday,Feb 8,Project 1 - Phase 2,Pat McGee,
Friday,Feb 9,Android Introduction,Paul Mills,
,,Week 20,,
Monday,Feb 12,Family Day,,
Tuesday,Feb 13,Project 1 - Phase 2,Pat McGee,
Wednesday,Feb 14,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
Thursday,Feb 15,Web Application Security,Pat McGee,
Friday,Feb 16,Android Introduction,Paul Mills,
,,Week 21,,
Monday,Feb 19,Front End Web Design,Michael Whyte,
Tuesday,Feb 20,Project 1 - Phase 2,Pat McGee,
Wednesday,Feb 21,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
Thursday,Feb 22,Web Application Security,Pat McGee,
Friday,Feb 23,Android Introduction,Paul Mills,
,,Week 22,,
Monday,Feb 26,Front End Web Design,Michael Whyte,
Tuesday,Feb 27,Project 1 - Phase 2,Pat McGee,
Wednesday,Feb 28,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
Thursday,Mar 1,iOS Development,Pat McGee,
Friday,Mar 2,Android Introduction,Paul Mills,
,,Week 23 ,,
Monday,Mar 5,iOS Development,Pat McGee,
Tuesday,Mar 6,iOS Development,Pat McGee,
Wednesday,Mar 7,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
